Treatment,Nitrogen_Applied_kg_ha,Yield_Simulated_kg_ha,Biomass_Simulated_kg_ha,Harvest_Index_Simulated,Grain_Weight_Simulated_mg,Grain_Number_Simulated,Grain_Nitrogen_Simulated_kg_ha,Yield_Observed_kg_ha,Yield_Observed_Std,Yield_Observed_n,Grain_Weight_Observed_mg,Grain_Weight_Observed_Std,Grain_Nitrogen_Observed_kg_ha,Grain_Nitrogen_Observed_Std,Harvest_Date_Observed,Yield_Difference_kg_ha,Yield_Error_Percent,Grain_Weight_Difference_mg,Grain_Weight_Error_Percent,Grain_Nitrogen_Difference_kg_ha,Grain_Nitrogen_Error_Percent
1,120,5983.0,12857.0,0.465,37.2,16096.0,99.7,6716.75,509.40081222942706,4,43.25,1.299038105676658,149.0,11.640446726822816,15237,-733.75,-10.924182082108162,-6.049999999999997,-13.988439306358375,-49.3,-33.08724832214765
2,120,6081.0,13065.0,0.465,37.3,16307.0,102.2,7270.75,539.7922632828299,4,43.5,1.118033988749895,168.5,18.445866745696716,15237,-1189.75,-16.363511329642748,-6.200000000000003,-14.252873563218396,-66.3,-39.347181008902076
3,40,3299.0,6176.0,0.534,44.7,7386.0,52.1,7282.5,569.9866226500408,4,42.5,0.5,160.5,23.66960075708925,15237,-3983.5,-54.69962238242362,2.200000000000003,5.1764705882353015,-108.4,-67.53894080996885
4,120,6057.0,13010.0,0.466,37.3,16245.0,101.6,7165.0,240.54417473719874,4,41.5,2.0615528128088303,149.5,8.200609733428363,15237,-1108.0,-15.464061409630148,-4.200000000000003,-10.12048192771085,-47.900000000000006,-32.04013377926422
5,120,6511.0,14442.0,0.451,36.9,17666.0,126.7,7176.75,118.1807408167676,4,42.75,0.82915619758885,153.0,3.082207001484488,15237,-665.75,-9.276483087748632,-5.850000000000001,-13.684210526315793,-26.299999999999997,-17.189542483660126
6,120,5983.0,12843.0,0.466,37.2,16082.0,99.8,6469.25,605.260016439216,4,41.5,0.5,110.25,65.88009942311866,15237,-486.25,-7.516327240406538,-4.299999999999997,-10.361445783132524,-10.450000000000003,-9.478458049886623
7,120,6488.0,14340.0,0.452,37.1,17467.0,115.1,7874.5,213.36529708460088,4,43.25,0.4330127018922193,174.25,13.045593125649749,15237,-1386.5,-17.607467140770844,-6.149999999999999,-14.219653179190747,-59.150000000000006,-33.9454806312769
8,180,6828.0,15084.0,0.453,37.4,18242.0,137.2,7875.75,445.78771573474296,4,42.5,0.5,191.25,14.872373717735847,15237,-1047.75,-13.303494905247119,-5.100000000000001,-12.000000000000004,-54.05000000000001,-28.261437908496738
9,180,6971.0,15532.0,0.449,37.4,18641.0,144.7,8177.0,653.097619043279,4,42.5,0.5,206.75,20.314711418083203,15237,-1206.0,-14.74868533692063,-5.100000000000001,-12.000000000000004,-62.05000000000001,-30.012091898428057
10,60,3299.0,6176.0,0.534,44.7,7386.0,52.3,7691.25,682.3241073712697,4,43.0,1.5811388300841898,195.75,16.48294573187693,15237,-4392.25,-57.10710222655615,1.7000000000000028,3.9534883720930303,-143.45,-73.28224776500637
11,180,6828.0,15084.0,0.453,37.4,18242.0,137.2,7766.5,351.004629599098,4,43.0,0.7071067811865476,184.75,16.78354849249705,15237,-938.5,-12.083950299362648,-5.600000000000001,-13.02325581395349,-47.55000000000001,-25.737483085250346
12,180,6960.0,15492.0,0.449,37.4,18603.0,144.1,7662.5,457.56447633093194,4,42.5,0.5,181.25,23.509306667785847,15237,-702.5,-9.168026101141926,-5.100000000000001,-12.000000000000004,-37.150000000000006,-20.496551724137934
13,180,6806.0,15016.0,0.453,37.4,18176.0,136.6,7428.75,703.8911048592673,4,42.25,0.82915619758885,184.25,23.594225988576103,15237,-622.75,-8.382971563183578,-4.850000000000001,-11.479289940828407,-47.650000000000006,-25.861601085481684
14,180,6725.0,14533.0,0.463,38.1,17673.0,140.9,8204.25,212.39865230269234,4,43.25,0.4330127018922193,200.75,11.776565713313877,15237,-1479.25,-18.03028917938873,-5.149999999999999,-11.90751445086705,-59.849999999999994,-29.813200498132
15,0,3285.0,6162.0,0.533,44.5,7386.0,47.1,3467.375,327.87723979410345,8,42.0,2.0615528128088303,71.5,10.222524150130436,15237,-182.375,-5.259742600670537,2.5,5.952380952380952,-24.4,-34.12587412587412
