"experiment_ID","experiment_year","chemical_applic_level","chemical_applic_date","chemical_applic_material","chemical_applic_amount","chemical_applic_method"
"LTFE_Duernast","2015",1,"2015-04-21","NA",2.5,NA
"LTFE_Duernast","2015",1,"2015-04-21","NA",2,NA
"LTFE_Duernast","2015",1,"2015-04-21","NA",0.8,NA
"LTFE_Duernast","2015",1,"2015-06-02","NA",1.5,NA
"LTFE_Duernast","2015",1,"2015-06-02","NA",0.3,NA
"LTFE_Duernast","2016",1,"2016-04-20","NA",3,NA
"LTFE_Duernast","2016",1,"2016-06-15","NA",3,NA
"LTFE_Duernast","2016",1,"2016-06-15","NA",0.75,NA
"LTFE_Duernast","2017",1,"2017-04-11","NA",0.18,NA
"LTFE_Duernast","2017",1,"2017-04-11","NA",0.01,NA
"LTFE_Duernast","2017",1,"2017-04-11","NA",0.7,NA
"LTFE_Duernast","2017",1,"2017-05-18","NA",0.5,NA
"LTFE_Duernast","2017",1,"2017-05-18","NA",0.7,NA
"LTFE_Duernast","2017",1,"2017-05-18","NA",0.3,NA
"LTFE_Duernast","2017",1,"2017-05-30","NA",2,NA
"LTFE_Duernast","2017",1,"2017-05-30","NA",0.08,NA
"LTFE_Duernast","2017",1,"2017-06-14","NA",1,NA
"LTFE_Duernast","2018",1,"2018-05-22","NA",1.5,NA
"LTFE_Duernast","2019",1,"2019-04-02","NA",1,NA
"LTFE_Duernast","2019",1,"2019-04-02","NA",0.4,NA
"LTFE_Duernast","2019",1,"2019-05-07","NA",0.08,NA
"LTFE_Duernast","2019",1,"2019-05-07","NA",0.4,NA
"LTFE_Duernast","2019",1,"2019-05-15","NA",1.5,NA
"LTFE_Duernast","2020",1,"2020-04-28","NA",0.2,NA
"LTFE_Duernast","2020",1,"2020-04-28","NA",0.5,NA
"LTFE_Duernast","2020",1,"2020-04-28","NA",1,NA
"LTFE_Duernast","2020",1,"2020-05-29","NA",1.2,NA
"LTFE_Duernast","2020",1,"2020-05-29","NA",1,NA
"LTFE_Duernast","2020",1,"2020-06-24","NA",1.25,NA
"LTFE_Duernast","2020",1,"2020-06-24","NA",0.2,NA
"LTFE_Duernast","2021",1,"2021-04-07","NA",1.3,NA
"LTFE_Duernast","2021",1,"2021-04-28","NA",1,NA
"LTFE_Duernast","2021",1,"2021-04-28","NA",0.5,NA
"LTFE_Duernast","2022",1,"2022-05-20","NA",3.5,NA
