"experiment_ID","experiment_year","tillage_level","tillage_date","tillage_operation_name","tillage_implement"
"LTFE_Duernast","2015",1,"2015-03-18","Saatbettbereitung",NA
"LTFE_Duernast","2016",1,"2016-05-04","Saatbettbereitung",NA
"LTFE_Duernast","2017",1,"2016-10-19","Grubber",NA
"LTFE_Duernast","2017",1,"2016-10-22","Pflug",NA
"LTFE_Duernast","2017",1,"2016-10-24","Saatbettbereitung",NA
"LTFE_Duernast","2019",1,"2018-10-11","Pflug",NA
"LTFE_Duernast","2019",1,"2018-10-11","Saatbettbereitung",NA
"LTFE_Duernast","2020",1,"2019-11-07","Pflug",NA
"LTFE_Duernast","2020",1,"2020-03-30","Saatbettbereitung",NA
"LTFE_Duernast","2020",1,"2020-08-25","Stoppelbearbeitung",NA
"LTFE_Duernast","2020",1,"2020-09-14","Pflug",NA
"LTFE_Duernast","2021",1,"2020-09-14","Pflug",NA
"LTFE_Duernast","2021",1,"2020-09-16","Saatbettbereitung",NA
"LTFE_Duernast","2022",1,"2021-11-23","Pflug",NA
"LTFE_Duernast","2022",1,"2022-05-02","Saatbettbereitung",NA
